Team Name,Level,Affiliation,Twitter,Website
AAA Baseball,AAA,,TripleABaseball,http://www.tripleabaseball.com/Welcome.jsp
Aberdeen,A-,Baltimore Orioles,IronBirds,http://www.milb.com/index.jsp?sid=t488
Acereros de Monclova,AAA,Mexican League,AcererosOficial,http://www.milb.com/index.jsp?sid=t560
Akron,AA,Cleveland Indians,AkronRubberDuck,http://www.milb.com/index.jsp?sid=t402
Albuquerque,AAA,Colorado Rockies,ABQTopes,http://www.milb.com/index.jsp?sid=t342
Altoona,AA,Pittsburgh Pirates,AltoonaCurve,http://www.milb.com/index.jsp?sid=t452
Angels,Rk,Los Angeles Angels,,http://www.milb.com/index.jsp?sid=t404
Angels,Frk,Los Angeles Angels,,http://www.milb.com/index.jsp?sid=t600
Arizona Diamondbacks,MLB,,Dbacks,http://m.dbacks.mlb.com/
Arizona Fall League,Rk,,MLBazfallleague,http://mlb.mlb.com/mlb/events/afl/index.jsp
Arkansas,AA,Seattle Mariners,ARTravs,http://www.milb.com/index.jsp?sid=t574
Asheville,A,Colorado Rockies,GoTourists,http://www.milb.com/index.jsp?sid=t573
Astros,Rk,Houston Astros,,http://www.milb.com/index.jsp?sid=t1998
Astros Blue,Frk,Houston Astros,,http://www.milb.com/index.jsp?sid=t601
Astros Orange,Frk,Houston Astros,,http://www.milb.com/index.jsp?sid=t5005
Athletics,Rk,Oakland Athletics,,http://www.milb.com/index.jsp?sid=t405
Athletics,Frk,Oakland Athletics,,http://www.milb.com/index.jsp?sid=t602
Atlanta Braves,MLB,,Braves,http://m.braves.mlb.com/
Auburn,A-,Washington Nationals,Doubledays,http://www.milb.com/index.jsp?sid=t458
Augusta,A,San Francisco Giants,GreenJackets,http://www.milb.com/index.jsp?sid=t478
Baltimore Orioles,MLB,,Orioles,http://m.orioles.mlb.com/
Batavia,A-,Miami Marlins,BataviaMuckdogs,http://www.milb.com/index.jsp?sid=t511
Beloit,A,Oakland Athletics,BeloitSnappers,http://www.milb.com/index.jsp?sid=t554
Benjamin Hills Blog,MiLB,,BensBiz,https://bensbiz.mlblogs.com/
Billings,Rk,Cincinnati Reds,Mustangs,http://www.milb.com/index.jsp?sid=t513
Biloxi,AA,Milwaukee Brewers,BiloxiShuckers,http://www.milb.com/index.jsp?sid=t5015
Binghamton,AA,New York Mets,RumblePoniesBB,http://www.milb.com/index.jsp?sid=t505
Birmingham,AA,Chicago White Sox,BhamBarons,http://www.milb.com/index.jsp?sid=t247
Blue Jays,Rk,Toronto Blue Jays,,http://www.milb.com/index.jsp?sid=t1390
Blue Jays,Frk,Toronto Blue Jays,,http://www.milb.com/index.jsp?sid=t604
Bluefield,Rk,Toronto Blue Jays,BluefieldJays,http://www.milb.com/index.jsp?sid=t517
Boise,A-,Colorado Rockies,BoiseHawks,http://www.milb.com/index.jsp?sid=t480
Boston Red Sox,MLB,,RedSox,http://m.redsox.mlb.com/
Bowie,AA,Baltimore Orioles,BowieBaysox,http://www.milb.com/index.jsp?sid=t418
Bowling Green,A,Tampa Bay Rays,BGHotRods,http://www.milb.com/index.jsp?sid=t2498
Bradenton,A+,Pittsburgh Pirates,The_Marauders,http://www.milb.com/index.jsp?sid=t3390
Braves,Rk,Atlanta Braves,,http://www.milb.com/index.jsp?sid=t464
Braves,Frk,Atlanta Braves,,http://www.milb.com/index.jsp?sid=t605
Bravos de Leon,AAA,Mexican League,NacimosBravos,http://www.milb.com/index.jsp?sid=t434
Brewers,Rk,Milwaukee Brewers,,http://www.milb.com/index.jsp?sid=t406
Brewers,Frk,Milwaukee Brewers,,http://www.milb.com/index.jsp?sid=t607
Bristol,Rk,Pittsburgh Pirates,BriBucs,http://www.milb.com/index.jsp?sid=t557
Brooklyn,A-,New York Mets,BKCyclones,http://www.milb.com/index.jsp?sid=t453
Buffalo,AAA,Toronto Blue Jays,BuffaloBisons,http://www.milb.com/index.jsp?sid=t422
Buies Creek,A+,Houston Astros,bcreekastros,http://www.milb.com/index.jsp?sid=t3712
Burlington,Rk,Kansas City Royals,BRoyalsKC,http://www.milb.com/index.jsp?sid=t483
Burlington,A,Los Angeles Angels,BurlingtonBees,http://www.milb.com/index.jsp?sid=t420
Cardinals,Rk,St. Louis Cardinals,,http://www.milb.com/index.jsp?sid=t1370
Cardinals,Frk,St. Louis Cardinals,,http://www.milb.com/index.jsp?sid=t608
Carolina,A+,Milwaukee Brewers,CarolinaMudcats,http://www.milb.com/index.jsp?sid=t249
Cedar Rapids,A,Minnesota Twins,CRKernels,http://www.milb.com/index.jsp?sid=t492
Charleston,A,New York Yankees,ChasRiverDogs,http://www.milb.com/index.jsp?sid=t233
Charlotte,A+,Tampa Bay Rays,StoneCrabs,http://www.milb.com/index.jsp?sid=t2730
Charlotte,AAA,Chicago White Sox,KnightsBaseball,http://www.milb.com/index.jsp?sid=t494
Chattanooga,AA,Minnesota Twins,ChattLookouts,http://www.milb.com/index.jsp?sid=t498
Chicago Cubs,MLB,,Cubs,http://m.cubs.mlb.com/
Chicago White Sox,MLB,,whitesox,http://m.redsox.mlb.com/
Cincinnati Reds,MLB,,Reds,http://m.reds.mlb.com/
Clearwater,A+,Philadelphia Phillies,Threshers,http://www.milb.com/index.jsp?sid=t566
Cleveland Indians,MLB,,Indians,http://m.indians.mlb.com/
Clinton,A,Seattle Mariners,LumberKings,http://www.milb.com/index.jsp?sid=t500
Colorado Rockies,MLB,,Rockies,http://m.rockies.mlb.com/
Colorado Springs,AAA,Milwaukee Brewers,skysox,http://www.milb.com/index.jsp?sid=t551
Columbia,A,New York Mets,ColaFireflies,http://www.milb.com/index.jsp?sid=t3705
Columbus,AAA,Cleveland Indians,CLBClippers,http://www.milb.com/index.jsp?sid=t445
Connecticut,A-,Detroit Tigers,thecttigers,http://www.milb.com/index.jsp?sid=t571
Corpus Christi,AA,Houston Astros,cchooks,http://www.milb.com/index.jsp?sid=t482
Cubs,Rk,Chicago Cubs,,http://www.milb.com/index.jsp?sid=t407
Cubs 1,Frk,Chicago Cubs,,http://www.milb.com/index.jsp?sid=t609
Cubs 2,Frk,Chicago Cubs,,http://www.milb.com/index.jsp?sid=t2270
Danville,Rk,Atlanta Braves,DanvilleBraves,http://www.milb.com/index.jsp?sid=t429
Dayton,A,Cincinnati Reds,DragonsBaseball,http://www.milb.com/index.jsp?sid=t459
Daytona,A+,Cincinnati Reds,daytonatortugas,http://www.milb.com/index.jsp?sid=t450
Delmarva,A,Baltimore Orioles,shorebirds,http://www.milb.com/index.jsp?sid=t548
Detroit Tigers,MLB,,tigers,http://m.indians.mlb.com/
Diablos Rojos del Mexico,AAA,Mexican League,DiablosRojosMX,http://www.milb.com/index.jsp?sid=t532
Diamondbacks,Rk,Arizona Diamondbacks,,http://www.milb.com/index.jsp?sid=t1991
Diamondbacks 1,Frk,Arizona Diamondbacks,,http://www.milb.com/index.jsp?sid=t610
Diamondbacks 2,Frk,Arizona Diamondbacks,,http://www.milb.com/index.jsp?sid=t610
Dodgers,Rk,Los Angeles Dodgers,,http://www.milb.com/index.jsp?sid=t2690
Dodgers 1,Frk,Los Angeles Dodgers,,http://www.milb.com/index.jsp?sid=t611
Dodgers 2,Frk,Los Angeles Dodgers,,http://www.milb.com/index.jsp?sid=t612
Down East,A+,Texas Rangers,GoWoodDucks,http://www.milb.com/index.jsp?sid=t485
Dunedin,A+,Toronto Blue Jays,DunedinBlueJays,http://www.milb.com/index.jsp?sid=t424
Durham,AAA,Tampa Bay Rays,DurhamBulls,http://www.milb.com/index.jsp?sid=t234
Durham Bulls PR,AAA,Tampa Bay Rays,DBullsMedia,https://www.milb.com/durham
Eastern League,AA,,EasternLeague,https://www.milb.com/eastern
El Paso,AAA,San Diego Padres,epchihuahuas,http://www.milb.com/index.jsp?sid=t4904
Elizabethtown,Rk,Minnesota Twins,ETwinsBaseball,http://www.milb.com/index.jsp?sid=t576
Erie,AA,Detroit Tigers,erie_seawolves,http://www.milb.com/index.jsp?sid=t106
Eugene,A-,Chicago Cubs,EugeneEmeralds,http://www.milb.com/index.jsp?sid=t461
Everett,A-,Seattle Mariners,EverettAquaSox,http://www.milb.com/index.jsp?sid=t403
Florida,A+,Atlanta Braves,FireFrogsBB,http://www.milb.com/index.jsp?sid=t503
Florida State League,A+,,FloridaStateLg,https://www.milb.com/florida-state
Fort Myers,A+,Minnesota Twins,MiracleBaseball,http://www.milb.com/index.jsp?sid=t509
Fort Wayne,A,San Diego Padres,TinCaps,http://www.milb.com/index.jsp?sid=t584
Frederick,A+,Baltimore Orioles,FrederickKeys,http://www.milb.com/index.jsp?sid=t493
Fresno,AAA,Houston Astros,FresnoGrizzlies,http://www.milb.com/index.jsp?sid=t259
Frisco,AA,Texas Rangers,RidersBaseball,http://www.milb.com/index.jsp?sid=t540
Generales de Durango,AAA,Mexican League,GeneralesdDgo,http://www.milb.com/index.jsp?sid=t4444
Giants,Rk,San Francisco Giants,,http://www.milb.com/index.jsp?sid=t408
Giants,Frk,San Francisco Giants,,http://www.milb.com/index.jsp?sid=t615
Grand Junction,Rk,Colorado Rockies,GJRockies,http://www.milb.com/index.jsp?sid=t4364
Great Falls,Rk,Chicago White Sox,gfvoyagers,http://www.milb.com/index.jsp?sid=t581
Great Lakes,A,Los Angeles Dodgers,greatlakesloons,http://www.milb.com/index.jsp?sid=t456
Greensboro,A,Miami Marlins,GSOHoppers,http://www.milb.com/index.jsp?sid=t477
Greenville,Rk,Houston Astros,,http://www.milb.com/index.jsp?sid=t413
Greenville,A,Boston Red Sox,GreenvilleDrive,http://www.milb.com/index.jsp?sid=t428
Guerreros de Oaxaca,AAA,Mexican League,GuerrerosOax,http://www.milb.com/index.jsp?sid=t579
Gwinnett,AAA,Atlanta Braves,GoStripers,http://www.milb.com/index.jsp?sid=t431
Hagerstown,A,Washington Nationals,HagerstownSuns,http://www.milb.com/index.jsp?sid=t563
Harrisburg,AA,Washington Nationals,HbgSenators,http://www.milb.com/index.jsp?sid=t547
Hartford,AA,Colorado Rockies,GoYardGoats,http://www.milb.com/index.jsp?sid=t538
Helena,Rk,Milwaukee Brewers,helenabrewers,http://www.milb.com/index.jsp?sid=t433
Hickory,A,Texas Rangers,HickoryCrawdads,http://www.milb.com/index.jsp?sid=t448
Hillsboro,A-,Arizona Diamondbacks,HillsboroHops,http://www.milb.com/index.jsp?sid=t419
Houston Astros,MLB,,astros,http://m.astros.mlb.com/
Hudson Valley,A-,Tampa Bay Rays,HVRenegades,http://www.milb.com/index.jsp?sid=t537
Idaho Falls,Rk,Kansas City Royals,ifchukars,http://www.milb.com/index.jsp?sid=t444
Indianapolis,AAA,Pittsburgh Pirates,indyindians,http://www.milb.com/index.jsp?sid=t484
Indians,Rk,Cleveland Indians,,http://www.milb.com/index.jsp?sid=t2770
Indians,Frk,Cleveland Indians,,http://www.milb.com/index.jsp?sid=t616
Inland Empire,A+,Los Angeles Angels,66ersBaseball,http://www.milb.com/index.jsp?sid=t401
Iowa,AAA,Chicago Cubs,IowaCubs,http://www.milb.com/index.jsp?sid=t451
Jackson,AA,Arizona Diamondbacks,jacksongenerals,http://www.milb.com/index.jsp?sid=t104
Jacksonville,AA,Miami Marlins,JaxShrimp,http://www.milb.com/index.jsp?sid=t564
Johnson City,Rk,St. Louis Cardinals,JC_Cardinals,http://www.milb.com/index.jsp?sid=t438
Jupiter,A+,Miami Marlins,GoHammerheads,http://www.milb.com/index.jsp?sid=t479
Kane County,A,Arizona Diamondbacks,KCCougars,http://www.milb.com/index.jsp?sid=t446
Kannapolis,A,Chicago White Sox,Intimidators,http://www.milb.com/index.jsp?sid=t487
Kansas City Royals,MLB,,Royals,http://m.royals.mlb.com/
Kingsport,Rk,New York Mets,Kingsport_Mets,http://www.milb.com/index.jsp?sid=t506
Lake County,A,Cleveland Indians,LCCaptains,http://www.milb.com/index.jsp?sid=t437
Lake Elsinore,A+,San Diego Padres,Storm_Baseball,http://www.milb.com/index.jsp?sid=t103
Lakeland,A+,Detroit Tigers,LkdFlyingTigers,http://www.milb.com/index.jsp?sid=t570
Lakewood,A,Philadelphia Phillies,BlueClaws,http://www.milb.com/index.jsp?sid=t427
Lancaster,A+,Colorado Rockies,JetHawks,http://www.milb.com/index.jsp?sid=t491
Lansing,A,Toronto Blue Jays,LansingLugnuts,http://www.milb.com/index.jsp?sid=t499
Las Vegas,AAA,New York Mets,LasVegas51s,http://www.milb.com/index.jsp?sid=t400
League of Mexican Baseball,AAA,Mexican League,LigaMexBeis,http://www.milb.com/index.jsp?sid=l125
Lehigh Valley,AAA,Philadelphia Phillies,IronPigs,http://www.milb.com/index.jsp?sid=t1410
Leigh Valley Iron Pigs PR,AA,Philadelphia Phillies,PorkCenter,https://www.milb.com/lehigh-valley
Leones de Yucatan,AAA,Mexican League,Leonesdeyuc,http://www.milb.com/index.jsp?sid=t496
Lexington,A,Kansas City Royals,LexingtonLegend,http://www.milb.com/index.jsp?sid=t495
Los Angeles Angels,MLB,,Angels,http://m.angels.mlb.com/
