Year of Season,Total Number of Players
1960,3762
1961,3669
1962,3413
1963,3268
1964,3279
1965,3196
1966,3360
1967,3471
1968,3579
1969,3948
1970,3871
1971,3751
1972,3683
1973,3511
1974,3435
1975,3208
1976,3340
1977,3572
1978,3646
1979,3820
1980,3913
1981,3913
1982,4084
1983,4070
1984,4228
1985,4307
1986,4293
1987,4545
1988,4711
1989,4801
1990,4958
1991,4995
1992,5003
1993,5134
1994,5182
1995,5634
1996,5291
1997,5373
1998,5602
1999,5758
2000,5808
2001,5786
2002,5818
2003,5866
2004,6156
2005,6229
2006,6999
2007,7174
2008,7326
2009,7350
2010,7346
2011,7376
2012,7423
2013,7583
2014,7730
2015,7726
2016,7762
