Measure Names,Year of Season,Measure Values
Number of Minor League Players,1960,3402
Number of Minor League Players,1961,3245
Number of Minor League Players,1962,2937
Number of Minor League Players,1963,2792
Number of Minor League Players,1964,2809
Number of Minor League Players,1965,2703
Number of Minor League Players,1966,2901
Number of Minor League Players,1967,2998
Number of Minor League Players,1968,3110
Number of Minor League Players,1969,3396
Number of Minor League Players,1970,3332
Number of Minor League Players,1971,3227
Number of Minor League Players,1972,3139
Number of Minor League Players,1973,2968
Number of Minor League Players,1974,2901
Number of Minor League Players,1975,2651
Number of Minor League Players,1976,2786
Number of Minor League Players,1977,2970
Number of Minor League Players,1978,3052
Number of Minor League Players,1979,3215
Number of Minor League Players,1980,3304
Number of Minor League Players,1981,3307
Number of Minor League Players,1982,3518
Number of Minor League Players,1983,3497
Number of Minor League Players,1984,3659
Number of Minor League Players,1985,3721
Number of Minor League Players,1986,3752
Number of Minor League Players,1987,4031
Number of Minor League Players,1988,4181
Number of Minor League Players,1989,4250
Number of Minor League Players,1990,4391
Number of Minor League Players,1991,4454
Number of Minor League Players,1992,4447
Number of Minor League Players,1993,4551
Number of Minor League Players,1994,4588
Number of Minor League Players,1995,5084
Number of Minor League Players,1996,4772
Number of Minor League Players,1997,4832
Number of Minor League Players,1998,4999
Number of Minor League Players,1999,5176
Number of Minor League Players,2000,5233
Number of Minor League Players,2001,5238
Number of Minor League Players,2002,5258
Number of Minor League Players,2003,5302
Number of Minor League Players,2004,5622
Number of Minor League Players,2005,5689
Number of Minor League Players,2006,6457
Number of Minor League Players,2007,6674
Number of Minor League Players,2008,6854
Number of Minor League Players,2009,6862
Number of Minor League Players,2010,6870
Number of Minor League Players,2011,6909
Number of Minor League Players,2012,6946
Number of Minor League Players,2013,7102
Number of Minor League Players,2014,7250
Number of Minor League Players,2015,7248
Number of Minor League Players,2016,7302
Number of Major League Players,1960,575
Number of Major League Players,1961,620
Number of Major League Players,1962,702
Number of Major League Players,1963,695
Number of Major League Players,1964,700
Number of Major League Players,1965,702
Number of Major League Players,1966,714
Number of Major League Players,1967,718
Number of Major League Players,1968,676
Number of Major League Players,1969,849
Number of Major League Players,1970,849
Number of Major League Players,1971,828
Number of Major League Players,1972,824
Number of Major League Players,1973,821
Number of Major League Players,1974,861
Number of Major League Players,1975,844
Number of Major League Players,1976,818
Number of Major League Players,1977,900
Number of Major League Players,1978,904
Number of Major League Players,1979,899
Number of Major League Players,1980,916
Number of Major League Players,1981,907
Number of Major League Players,1982,932
Number of Major League Players,1983,953
Number of Major League Players,1984,935
Number of Major League Players,1985,943
Number of Major League Players,1986,953
Number of Major League Players,1987,975
Number of Major League Players,1988,973
Number of Major League Players,1989,988
Number of Major League Players,1990,1030
Number of Major League Players,1991,1034
Number of Major League Players,1992,1007
Number of Major League Players,1993,1104
Number of Major League Players,1994,991
Number of Major League Players,1995,1133
Number of Major League Players,1996,1141
Number of Major League Players,1997,1123
Number of Major League Players,1998,1186
Number of Major League Players,1999,1209
Number of Major League Players,2000,1230
Number of Major League Players,2001,1220
Number of Major League Players,2002,1218
Number of Major League Players,2003,1230
Number of Major League Players,2004,1247
Number of Major League Players,2005,1237
Number of Major League Players,2006,1242
Number of Major League Players,2007,1278
Number of Major League Players,2008,1291
Number of Major League Players,2009,1266
Number of Major League Players,2010,1249
Number of Major League Players,2011,1295
Number of Major League Players,2012,1284
Number of Major League Players,2013,1304
Number of Major League Players,2014,1320
Number of Major League Players,2015,1348
Number of Major League Players,2016,1353
