Measure Names,Year of Season,Measure Values
Number of Major League Teams,1960,16
Number of Major League Teams,1961,18
Number of Major League Teams,1962,20
Number of Major League Teams,1963,20
Number of Major League Teams,1964,20
Number of Major League Teams,1965,20
Number of Major League Teams,1966,20
Number of Major League Teams,1967,20
Number of Major League Teams,1968,20
Number of Major League Teams,1969,24
Number of Major League Teams,1970,24
Number of Major League Teams,1971,24
Number of Major League Teams,1972,24
Number of Major League Teams,1973,24
Number of Major League Teams,1974,24
Number of Major League Teams,1975,24
Number of Major League Teams,1976,24
Number of Major League Teams,1977,26
Number of Major League Teams,1978,26
Number of Major League Teams,1979,26
Number of Major League Teams,1980,26
Number of Major League Teams,1981,26
Number of Major League Teams,1982,26
Number of Major League Teams,1983,26
Number of Major League Teams,1984,26
Number of Major League Teams,1985,26
Number of Major League Teams,1986,26
Number of Major League Teams,1987,26
Number of Major League Teams,1988,26
Number of Major League Teams,1989,26
Number of Major League Teams,1990,26
Number of Major League Teams,1991,26
Number of Major League Teams,1992,26
Number of Major League Teams,1993,28
Number of Major League Teams,1994,28
Number of Major League Teams,1995,28
Number of Major League Teams,1996,28
Number of Major League Teams,1997,28
Number of Major League Teams,1998,30
Number of Major League Teams,1999,30
Number of Major League Teams,2000,30
Number of Major League Teams,2001,30
Number of Major League Teams,2002,30
Number of Major League Teams,2003,30
Number of Major League Teams,2004,30
Number of Major League Teams,2005,30
Number of Major League Teams,2006,30
Number of Major League Teams,2007,30
Number of Major League Teams,2008,30
Number of Major League Teams,2009,30
Number of Major League Teams,2010,30
Number of Major League Teams,2011,30
Number of Major League Teams,2012,30
Number of Major League Teams,2013,30
Number of Major League Teams,2014,30
Number of Major League Teams,2015,30
Number of Major League Teams,2016,30
Number of Minor League T eams,1960,126
Number of Minor League T eams,1961,119
Number of Minor League T eams,1962,105
Number of Minor League T eams,1963,101
Number of Minor League T eams,1964,102
Number of Minor League T eams,1965,100
Number of Minor League T eams,1966,103
Number of Minor League T eams,1967,101
Number of Minor League T eams,1968,106
Number of Minor League T eams,1969,112
Number of Minor League T eams,1970,114
Number of Minor League T eams,1971,113
Number of Minor League T eams,1972,113
Number of Minor League T eams,1973,108
Number of Minor League T eams,1974,106
Number of Minor League T eams,1975,97
Number of Minor League T eams,1976,101
Number of Minor League T eams,1977,109
Number of Minor League T eams,1978,109
Number of Minor League T eams,1979,117
Number of Minor League T eams,1980,117
Number of Minor League T eams,1981,116
Number of Minor League T eams,1982,122
Number of Minor League T eams,1983,124
Number of Minor League T eams,1984,126
Number of Minor League T eams,1985,127
Number of Minor League T eams,1986,128
Number of Minor League T eams,1987,133
Number of Minor League T eams,1988,139
Number of Minor League T eams,1989,142
Number of Minor League T eams,1990,142
Number of Minor League T eams,1991,144
Number of Minor League T eams,1992,145
Number of Minor League T eams,1993,147
Number of Minor League T eams,1994,149
Number of Minor League T eams,1995,151
Number of Minor League T eams,1996,151
Number of Minor League T eams,1997,152
Number of Minor League T eams,1998,155
Number of Minor League T eams,1999,158
Number of Minor League T eams,2000,158
Number of Minor League T eams,2001,156
Number of Minor League T eams,2002,156
Number of Minor League T eams,2003,157
Number of Minor League T eams,2004,164
Number of Minor League T eams,2005,166
Number of Minor League T eams,2006,191
Number of Minor League T eams,2007,192
Number of Minor League T eams,2008,195
Number of Minor League T eams,2009,193
Number of Minor League T eams,2010,192
Number of Minor League T eams,2011,192
Number of Minor League T eams,2012,191
Number of Minor League T eams,2013,196
Number of Minor League T eams,2014,196
Number of Minor League T eams,2015,197
Number of Minor League T eams,2016,198
