Year of Season,Average Number of Teams Per MLB Franchise (MiLB + MLB)
1960,8.875
1961,7.611111111
1962,6.25
1963,6.05
1964,6.1
1965,6
1966,6.15
1967,6.05
1968,6.3
1969,5.666666667
1970,5.75
1971,5.708333333
1972,5.708333333
1973,5.5
1974,5.416666667
1975,5.041666667
1976,5.208333333
1977,5.192307692
1978,5.192307692
1979,5.5
1980,5.5
1981,5.461538462
1982,5.692307692
1983,5.769230769
1984,5.846153846
1985,5.884615385
1986,5.923076923
1987,6.115384615
1988,6.346153846
1989,6.461538462
1990,6.461538462
1991,6.538461538
1992,6.576923077
1993,6.25
1994,6.321428571
1995,6.392857143
1996,6.392857143
1997,6.428571429
1998,6.166666667
1999,6.266666667
2000,6.266666667
2001,6.2
2002,6.2
2003,6.233333333
2004,6.466666667
2005,6.533333333
2006,7.366666667
2007,7.4
2008,7.5
2009,7.433333333
2010,7.4
2011,7.4
2012,7.366666667
2013,7.533333333
2014,7.533333333
2015,7.566666667
2016,7.6
