Measure Names,Year of Year,Measure Values
Number of Player Representatives Born in the United States of America,2016,51
Number of Player Representatives Born in the United States of America,2011,32
Number of Player Representatives Born in the United States of America,2006,34
Number of Player Representatives Born in the United States of America,2002,41
Number of Player Representatives Born in the United States of America,1998,19
Number of Player Representatives Born in the United States of America,1995,2
Number of Player Representatives Born in the United States of America,1990,34
Number of Player Representatives Born in the United States of America,1985,1
Number of Player Representatives Born in the United States of America,1980,28
Number of Player Representatives Born in the United States of America,1976,26
Number of Player Representatives Born in the United States of America,1973,24
Number of Player Representatives Born in the United States of America,1970,28
Number of Player Representatives Born in the United States of America,1968,22
Number of Player Representatives Born in the United Kingdom,2016,
Number of Player Representatives Born in the United Kingdom,2011,
Number of Player Representatives Born in the United Kingdom,2006,
Number of Player Representatives Born in the United Kingdom,2002,
Number of Player Representatives Born in the United Kingdom,1998,
Number of Player Representatives Born in the United Kingdom,1995,
Number of Player Representatives Born in the United Kingdom,1990,1
Number of Player Representatives Born in the United Kingdom,1985,
Number of Player Representatives Born in the United Kingdom,1980,
Number of Player Representatives Born in the United Kingdom,1976,
Number of Player Representatives Born in the United Kingdom,1973,
Number of Player Representatives Born in the United Kingdom,1970,
Number of Player Representatives Born in the United Kingdom,1968,
Number of Player Representatives Born in the Dominican Republic,2016,2
Number of Player Representatives Born in the Dominican Republic,2011,4
Number of Player Representatives Born in the Dominican Republic,2006,
Number of Player Representatives Born in the Dominican Republic,2002,
Number of Player Representatives Born in the Dominican Republic,1998,
Number of Player Representatives Born in the Dominican Republic,1995,
Number of Player Representatives Born in the Dominican Republic,1990,
Number of Player Representatives Born in the Dominican Republic,1985,
Number of Player Representatives Born in the Dominican Republic,1980,
Number of Player Representatives Born in the Dominican Republic,1976,
Number of Player Representatives Born in the Dominican Republic,1973,
Number of Player Representatives Born in the Dominican Republic,1970,
Number of Player Representatives Born in the Dominican Republic,1968,
Number of Player Representatives Born in Puerto Rico,2016,
Number of Player Representatives Born in Puerto Rico,2011,
Number of Player Representatives Born in Puerto Rico,2006,
Number of Player Representatives Born in Puerto Rico,2002,
Number of Player Representatives Born in Puerto Rico,1998,1
Number of Player Representatives Born in Puerto Rico,1995,
Number of Player Representatives Born in Puerto Rico,1990,
Number of Player Representatives Born in Puerto Rico,1985,
Number of Player Representatives Born in Puerto Rico,1980,
Number of Player Representatives Born in Puerto Rico,1976,
Number of Player Representatives Born in Puerto Rico,1973,
Number of Player Representatives Born in Puerto Rico,1970,
Number of Player Representatives Born in Puerto Rico,1968,1
Number of Player Representatives Born in Poland,2016,
Number of Player Representatives Born in Poland,2011,
Number of Player Representatives Born in Poland,2006,
Number of Player Representatives Born in Poland,2002,
Number of Player Representatives Born in Poland,1998,
Number of Player Representatives Born in Poland,1995,
Number of Player Representatives Born in Poland,1990,
Number of Player Representatives Born in Poland,1985,
Number of Player Representatives Born in Poland,1980,
Number of Player Representatives Born in Poland,1976,
Number of Player Representatives Born in Poland,1973,
Number of Player Representatives Born in Poland,1970,1
Number of Player Representatives Born in Poland,1968,1
Number of Player Representatives Born in Nicaragua,2016,
Number of Player Representatives Born in Nicaragua,2011,
Number of Player Representatives Born in Nicaragua,2006,
Number of Player Representatives Born in Nicaragua,2002,
Number of Player Representatives Born in Nicaragua,1998,1
Number of Player Representatives Born in Nicaragua,1995,
Number of Player Representatives Born in Nicaragua,1990,
Number of Player Representatives Born in Nicaragua,1985,
Number of Player Representatives Born in Nicaragua,1980,
Number of Player Representatives Born in Nicaragua,1976,
Number of Player Representatives Born in Nicaragua,1973,
Number of Player Representatives Born in Nicaragua,1970,
Number of Player Representatives Born in Nicaragua,1968,
Number of Player Representatives Born in Japan (military base),2016,1
Number of Player Representatives Born in Japan (military base),2011,
Number of Player Representatives Born in Japan (military base),2006,
Number of Player Representatives Born in Japan (military base),2002,
Number of Player Representatives Born in Japan (military base),1998,
Number of Player Representatives Born in Japan (military base),1995,
Number of Player Representatives Born in Japan (military base),1990,
Number of Player Representatives Born in Japan (military base),1985,
Number of Player Representatives Born in Japan (military base),1980,
Number of Player Representatives Born in Japan (military base),1976,
Number of Player Representatives Born in Japan (military base),1973,
Number of Player Representatives Born in Japan (military base),1970,
Number of Player Representatives Born in Japan (military base),1968,
Number of Player Representatives Born in Jamaica,2016,
Number of Player Representatives Born in Jamaica,2011,1
Number of Player Representatives Born in Jamaica,2006,
Number of Player Representatives Born in Jamaica,2002,
Number of Player Representatives Born in Jamaica,1998,
Number of Player Representatives Born in Jamaica,1995,
Number of Player Representatives Born in Jamaica,1990,
Number of Player Representatives Born in Jamaica,1985,
Number of Player Representatives Born in Jamaica,1980,
Number of Player Representatives Born in Jamaica,1976,
Number of Player Representatives Born in Jamaica,1973,
Number of Player Representatives Born in Jamaica,1970,
Number of Player Representatives Born in Jamaica,1968,
