OBJECTID,Team_ID,Season,Parent_League,Parent_Team,League,Team,Team_1,Classification,Location_ID,City,State,Country,Lat,Long
11440,2016_Appalachian_Bluefield,2016,American,TOR,Appalachian,Bluefield,Bluefield,Rk,Bluefield_VA_US,Bluefield,VA,US,37.252617,-81.27121
11441,2016_Appalachian_Bristol,2016,National,PIT,Appalachian,Bristol,Bristol,Rk,Bristol_VA_US,Bristol,VA,US,36.596495,-82.188467
11442,2016_Appalachian_Burlington,2016,American,KC,Appalachian,Burlington,Burlington,Rk,Burlington_NC_US,Burlington,NC,US,36.095692,-79.437799
11443,2016_Appalachian_Danville,2016,National,ATL,Appalachian,Danville,Danville,Rk,Danville_GA_US,Danville,GA,US,32.60571,-83.245436
11444,2016_Appalachian_Elizabethton,2016,American,MIN,Appalachian,Elizabethton,Elizabethton,Rk,Elizabethton_TN_US,Elizabethton,TN,US,36.34872,-82.210688
11445,2016_Appalachian_Greeneville,2016,American,HOU,Appalachian,Greeneville,Greeneville,Rk,Greeneville_TN_US,Greeneville,TN,US,36.163158,-82.830986
11446,2016_Appalachian_JohnsonCity,2016,National,STL,Appalachian,Johnson City,Johnson City,Rk,JohnsonCity_TN_US,Johnson City,TN,US,36.31344,-82.353473
11447,2016_Appalachian_Kingsport,2016,National,NYM,Appalachian,Kingsport,Kingsport,Rk,Kingsport_TN_US,Kingsport,TN,US,36.548434,-82.561819
11448,2016_Appalachian_Princeton,2016,American,TB,Appalachian,Princeton,Princeton,Rk,Princeton_WV_US,Princeton,WV,US,37.366328,-81.102577
11449,2016_Appalachian_Pulaski,2016,American,NYY,Appalachian,Pulaski,Pulaski,Rk,Pulaski_VA_US,Pulaski,VA,US,37.047898,-80.779793
11450,2016_Arizona_Angels,2016,American,LAA,Arizona,Angels,Angels,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11451,2016_Arizona_Athletics,2016,American,OAK,Arizona,Athletics,Athletics,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11452,2016_Arizona_Brewers,2016,National,MIL,Arizona,Brewers,Brewers,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11453,2016_Arizona_Cubs,2016,National,CHC,Arizona,Cubs,Cubs,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11454,2016_Arizona_Diamondbacks,2016,National,ARI,Arizona,Diamondbacks,Diamondbacks,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11455,2016_Arizona_Dodgers,2016,National,LAD,Arizona,Dodgers,Dodgers,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11456,2016_Arizona_Giants,2016,National,SF,Arizona,Giants,Giants,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11457,2016_Arizona_Indians,2016,American,CLE,Arizona,Indians,Indians,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11458,2016_Arizona_Mariners,2016,American,SEA,Arizona,Mariners,Mariners,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11459,2016_Arizona_Padres,2016,National,SD,Arizona,Padres,Padres,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11460,2016_Arizona_Rangers,2016,American,TEX,Arizona,Rangers,Rangers,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11461,2016_Arizona_Reds,2016,National,CIN,Arizona,Reds,Reds,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
11462,2016_Arizona_Royals,2016,American,KC,Arizona,Royals,Royals,Rk,AZ_US, ,AZ,US,34.395342,-111.763275
