OBJECTID,id_person,Season,classifica,league_nam,team_name,team_id,City_PoB,State_Pob,State_Abbr,Country_Po,Region_PoB,Group_PoB,PoB_Lat,PoB_Long
165,484,2016,MLB,American,NYY,2016_American_NYY,Cordoba_Veracruz_MX,Cordoba,Veracruz,MX,Central America,Latin America and the Caribbean,18.89447,-96.935289
166,484,2016,MLB,American,NYY,2016_American_NYY,Cordoba_Veracruz_MX,Cordoba,Veracruz,MX,Central America,Latin America and the Caribbean,18.89447,-96.935289
206,625,2016,MLB,American,BOS,2016_American_BOS,Samana_Samana_DO,Samana,Samana,DO,Caribbean,Latin America and the Caribbean,19.206543,-69.335818
274,706,2016,MLB,American,HOU,2016_American_HOU,Pascagoula_MS_US,Pascagoula,MS,US,Northern America,Northern America,30.362263,-88.548648
281,706,2016,MLB,American,HOU,2016_American_HOU,Pascagoula_MS_US,Pascagoula,MS,US,Northern America,Northern America,30.362263,-88.548648
374,837,2016,MLB,National,PIT,2016_National_PIT,Charlotte_NC_US,Charlotte,NC,US,Northern America,Northern America,35.227087,-80.843127
387,837,2016,MLB,National,PIT,2016_National_PIT,Charlotte_NC_US,Charlotte,NC,US,Northern America,Northern America,35.227087,-80.843127
459,1012,2016,MLB,American,CWS,2016_American_CWS,Northfield_IL_US,Northfield,IL,US,Northern America,Northern America,42.09975,-87.780897
463,1012,2016,MLB,American,CWS,2016_American_CWS,Northfield_IL_US,Northfield,IL,US,Northern America,Northern America,42.09975,-87.780897
541,1284,2016,MLB,National,STL,2016_National_STL,Louisville_KY_US,Louisville,KY,US,Northern America,Northern America,38.254238,-85.759407
542,1284,2016,MLB,National,STL,2016_National_STL,Louisville_KY_US,Louisville,KY,US,Northern America,Northern America,38.254238,-85.759407
549,1319,2016,MLB,National,PHI,2016_National_PHI,VillaAltagracia_SanCristobal_DO,Villa Altagracia,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.672539,-70.169997
552,1319,2016,MLB,National,PHI,2016_National_PHI,VillaAltagracia_SanCristobal_DO,Villa Altagracia,San Cristobal,DO,Caribbean,Latin America and the Caribbean,18.672539,-70.169997
560,1339,2016,MLB,National,WSH,2016_National_WSH,Valencia_Carabobo_VE,Valencia,Carabobo,VE,South America,Latin America and the Caribbean,10.170488,-68.001121
568,1339,2016,MLB,National,WSH,2016_National_WSH,Valencia_Carabobo_VE,Valencia,Carabobo,VE,South America,Latin America and the Caribbean,10.170488,-68.001121
575,1341,2016,MLB,National,MIA,2016_National_MIA,WestCovina_CA_US,West Covina,CA,US,Northern America,Northern America,34.068621,-117.938953
578,1341,2016,MLB,National,MIA,2016_National_MIA,WestCovina_CA_US,West Covina,CA,US,Northern America,Northern America,34.068621,-117.938953
597,1362,2016,MLB,National,CIN,2016_National_CIN,Albuquerque_NM_US,Albuquerque,NM,US,Northern America,Northern America,35.084103,-106.650985
602,1362,2016,MLB,National,CIN,2016_National_CIN,Albuquerque_NM_US,Albuquerque,NM,US,Northern America,Northern America,35.084103,-106.650985
657,1420,2016,MLB,National,COL,2016_National_COL,Bakersfield_CA_US,Bakersfield,CA,US,Northern America,Northern America,35.373871,-119.019464
660,1420,2016,MLB,National,COL,2016_National_COL,Bakersfield_CA_US,Bakersfield,CA,US,Northern America,Northern America,35.373871,-119.019464
665,1424,2016,MLB,National,LAD,2016_National_LAD,SanGabriel_CA_US,San Gabriel,CA,US,Northern America,Northern America,34.099133,-118.108604
673,1424,2016,MLB,American,TOR,2016_American_TOR,SanGabriel_CA_US,San Gabriel,CA,US,Northern America,Northern America,34.099133,-118.108604
676,1424,2016,MLB,National,LAD,2016_National_LAD,SanGabriel_CA_US,San Gabriel,CA,US,Northern America,Northern America,34.099133,-118.108604
684,1424,2016,MLB,American,TOR,2016_American_TOR,SanGabriel_CA_US,San Gabriel,CA,US,Northern America,Northern America,34.099133,-118.108604
753,1716,2016,MLB,American,DET,2016_American_DET,Auburndale_WI_US,Auburndale,WI,US,Northern America,Northern America,44.625824,-90.011366
761,1716,2016,MLB,American,DET,2016_American_DET,Auburndale_WI_US,Auburndale,WI,US,Northern America,Northern America,44.625824,-90.011366
863,1949,2016,MLB,American,CLE,2016_American_CLE,Miami_FL_US,Miami,FL,US,Northern America,Northern America,25.774266,-80.193659
868,1949,2016,MLB,American,CLE,2016_American_CLE,Miami_FL_US,Miami,FL,US,Northern America,Northern America,25.774266,-80.193659
928,2138,2016,MLB,National,COL,2016_National_COL,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
931,2138,2016,MLB,National,COL,2016_National_COL,Santiago_Santiago_DO,Santiago,Santiago,DO,Caribbean,Latin America and the Caribbean,19.450293,-70.690611
1029,2323,2016,MLB,American,KC,2016_American_KC,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
1030,2323,2016,MLB,American,LAA,2016_American_LAA,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
1032,2323,2016,MLB,American,KC,2016_American_KC,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
1033,2323,2016,MLB,American,LAA,2016_American_LAA,RedwoodCity_CA_US,Redwood City,CA,US,Northern America,Northern America,37.485215,-122.236355
