Australia (FRk),Canada (A),Canada (A-),Canada (AA),Canada (AAA),Canada (MLB),Canada (Rk),Dominican Republic (Frk),Japan (Frk),Number of Records,Panama (AAA),Puerto Rico (AAA),Puerto Rico (Frk),Season,United States (A),United States (A+),United States (A-),United States (AA),United States (AAA),United States (MLB),United States (Rk),Venezuela (AAA),Venezuela (Frk)
,,,1,3,,,,,1,,,,1/1/1960,14,,,13,21,16,17,,
,,,1,2,,,,,1,,,,1/1/1961,14,,,13,20,20,25,,
,,,,2,,,,,1,,,,1/1/1962,14,,,6,20,21,23,,
,1,,,1,,,,,1,,,,1/1/1963,71,,,20,19,21,25,,
,1,,,1,,,,,1,,,,1/1/1964,61,,,20,19,21,38,,
,,,,2,,,,,1,,,,1/1/1965,60,,,20,18,21,36,,
,,,,2,,,,,1,,,,1/1/1966,53,,10,20,18,21,34,,
,,,,2,,,,,1,,,,1/1/1967,46,,16,20,18,21,38,,
,,,,1,,,,,1,,,,1/1/1968,46,,18,20,19,21,40,,
,,1,,1,1,,,,1,,,,1/1/1969,45,,17,20,21,24,45,,
,,,,,1,,,,1,,,,1/1/1970,44,,20,22,24,24,42,,
,,,2,1,1,,,,1,,,,1/1/1971,44,,18,20,23,24,38,,
,,,3,,1,,,,1,,,,1/1/1972,42,,14,21,24,23,45,,
,,,3,,1,,,,1,,,,1/1/1973,40,,14,21,24,23,38,,
,,1,4,,1,,,,1,,,,1/1/1974,38,,13,20,24,23,26,,
,,,3,,1,1,,,1,,,,1/1/1975,34,,12,21,24,23,24,,
,1,,2,,1,1,,,1,,,,1/1/1976,37,,13,22,24,23,36,,
,1,,2,,2,3,,,1,,,,1/1/1977,39,,16,22,24,24,39,,
,,1,,1,2,3,,,1,,,,1/1/1978,39,,17,24,25,24,17,,
,,1,,1,2,3,,,1,1,2,,1/1/1979,40,,17,24,26,24,18,2,
,,1,,1,2,3,,,1,,,,1/1/1980,43,,15,26,25,24,21,,
,,,,2,2,3,,,1,,,,1/1/1981,44,,14,26,24,24,23,,
,,,,2,2,3,,,1,,,,1/1/1982,50,,16,26,24,24,23,,
,,,,2,2,3,,,1,,,,1/1/1983,50,,20,26,24,24,21,,
,,,,2,2,2,,,1,,,,1/1/1984,50,,20,26,24,24,24,,
,,,,3,2,1,,,1,,,,1/1/1985,51,,20,26,23,24,24,,
,,1,,3,2,1,,,1,,,,1/1/1986,52,,19,26,23,24,23,,
,,1,,3,2,1,,,1,,,,1/1/1987,56,,19,26,23,24,25,,
,,2,,3,2,1,,,1,,,,1/1/1988,58,,18,26,23,24,33,,
,,3,1,3,2,1,13,,1,,,,1/1/1989,58,,19,25,23,24,37,,
,,3,1,3,2,1,18,,1,,,,1/1/1990,26,32,19,25,23,24,37,,
,,3,1,3,2,1,18,,1,,,,1/1/1991,28,32,19,25,23,24,38,,
,,3,1,3,2,2,20,,1,,,,1/1/1992,28,32,19,25,23,24,39,,
,,2,1,4,2,2,21,,1,,,,1/1/1993,28,31,20,25,24,26,39,,
,,2,,4,2,2,20,,1,,,,1/1/1994,28,32,20,28,24,26,39,,
,,1,,4,2,2,21,1,1,,,,1/1/1995,28,32,21,28,24,26,38,,
,,1,,4,2,2,23,,1,,,,1/1/1996,28,32,21,28,24,26,37,,
8,,1,,4,2,2,28,,1,,,3,1/1/1997,28,32,21,28,24,26,37,,4
,,1,,4,2,2,32,,1,,,,1/1/1998,28,32,21,28,26,28,38,,
,,1,,4,2,1,33,,1,,,,1/1/1999,28,32,21,30,26,28,39,,
,,1,,3,2,1,33,,1,,,,1/1/2000,28,32,21,30,27,28,39,,
,,1,,3,2,1,33,,1,,,,1/1/2001,30,30,21,30,27,28,38,,
,,1,,3,2,1,34,,1,,,,1/1/2002,30,30,21,30,27,28,38,,11
,,1,,2,2,,35,,1,,,,1/1/2003,30,30,21,30,28,28,39,,9
,,1,,2,2,,31,,1,,,,1/1/2004,30,30,21,30,28,28,39,,9
,,1,,1,1,,36,,1,,,,1/1/2005,30,30,21,30,29,29,39,,5
,,1,,1,1,,37,,1,,,,1/1/2006,30,30,21,30,29,29,40,,4
,,1,,1,1,,40,,1,,,,1/1/2007,30,30,21,30,29,29,42,,3
,,1,,,1,,42,,1,,,,1/1/2008,30,30,21,30,30,29,43,,3
,,1,,,1,,37,,1,,,,1/1/2009,30,30,21,30,30,29,45,,3
,,1,,,1,,37,,1,,,,1/1/2010,30,30,21,30,30,29,45,,4
,,1,,,1,,35,,1,,,,1/1/2011,30,30,21,30,30,29,46,,4
,,1,,,1,,36,,1,,,,1/1/2012,30,30,21,30,30,29,45,,3
,,1,,,1,,36,,1,,,,1/1/2013,30,30,21,30,30,29,47,,4
,,1,,,1,,37,,1,,,,1/1/2014,30,30,21,30,30,29,47,,4
,,1,,,1,,39,,1,,,,1/1/2015,30,30,21,30,30,29,48,,4
,,1,,,1,,42,,1,,,,1/1/2016,30,30,21,30,30,29,49,,
,,1,,,,,40,,1,,,,1/1/2017,28,30,23,30,30,,50,,
