Canada (MLB),Season,United States (MLB)
,1/1/1960,16
,1/1/1961,20
,1/1/1962,21
,1/1/1963,21
,1/1/1964,21
,1/1/1965,21
,1/1/1966,21
,1/1/1967,21
,1/1/1968,21
1,1/1/1969,24
1,1/1/1970,24
1,1/1/1971,24
1,1/1/1972,23
1,1/1/1973,23
1,1/1/1974,23
1,1/1/1975,23
1,1/1/1976,23
2,1/1/1977,24
2,1/1/1978,24
2,1/1/1979,24
2,1/1/1980,24
2,1/1/1981,24
2,1/1/1982,24
2,1/1/1983,24
2,1/1/1984,24
2,1/1/1985,24
2,1/1/1986,24
2,1/1/1987,24
2,1/1/1988,24
2,1/1/1989,24
2,1/1/1990,24
2,1/1/1991,24
2,1/1/1992,24
2,1/1/1993,26
2,1/1/1994,26
2,1/1/1995,26
2,1/1/1996,26
2,1/1/1997,26
2,1/1/1998,28
2,1/1/1999,28
2,1/1/2000,28
2,1/1/2001,28
2,1/1/2002,28
2,1/1/2003,28
2,1/1/2004,28
1,1/1/2005,29
1,1/1/2006,29
1,1/1/2007,29
1,1/1/2008,29
1,1/1/2009,29
1,1/1/2010,29
1,1/1/2011,29
1,1/1/2012,29
1,1/1/2013,29
1,1/1/2014,29
1,1/1/2015,29
1,1/1/2016,29
