Measure Names,Year of Season,Measure Values
United States (AAA),2016,30
United States (AAA),2015,30
United States (AAA),2014,30
United States (AAA),2013,30
United States (AAA),2012,30
United States (AAA),2011,30
United States (AAA),2010,30
United States (AAA),2009,30
United States (AAA),2008,30
United States (AAA),2007,29
United States (AAA),2006,29
United States (AAA),2005,29
United States (AAA),2004,28
United States (AAA),2003,28
United States (AAA),2002,27
United States (AAA),2001,27
United States (AAA),2000,27
United States (AAA),1999,26
United States (AAA),1998,26
United States (AAA),1997,24
United States (AAA),1996,24
United States (AAA),1995,24
United States (AAA),1994,24
United States (AAA),1993,24
United States (AAA),1992,23
United States (AAA),1991,23
United States (AAA),1990,23
United States (AAA),1989,23
United States (AAA),1988,23
United States (AAA),1987,23
United States (AAA),1986,23
United States (AAA),1985,23
United States (AAA),1984,24
United States (AAA),1983,24
United States (AAA),1982,24
United States (AAA),1981,24
United States (AAA),1980,25
United States (AAA),1979,26
United States (AAA),1978,25
United States (AAA),1977,24
United States (AAA),1976,24
United States (AAA),1975,24
United States (AAA),1974,24
United States (AAA),1973,24
United States (AAA),1972,24
United States (AAA),1971,23
United States (AAA),1970,24
United States (AAA),1969,21
United States (AAA),1968,19
United States (AAA),1967,18
United States (AAA),1966,18
United States (AAA),1965,18
United States (AAA),1964,19
United States (AAA),1963,19
United States (AAA),1962,20
United States (AAA),1961,20
United States (AAA),1960,21
Canada (AAA),2016,
Canada (AAA),2015,
Canada (AAA),2014,
Canada (AAA),2013,
Canada (AAA),2012,
Canada (AAA),2011,
Canada (AAA),2010,
Canada (AAA),2009,
Canada (AAA),2008,
Canada (AAA),2007,1
Canada (AAA),2006,1
Canada (AAA),2005,1
Canada (AAA),2004,2
Canada (AAA),2003,2
Canada (AAA),2002,3
Canada (AAA),2001,3
Canada (AAA),2000,3
Canada (AAA),1999,4
Canada (AAA),1998,4
Canada (AAA),1997,4
Canada (AAA),1996,4
Canada (AAA),1995,4
Canada (AAA),1994,4
Canada (AAA),1993,4
Canada (AAA),1992,3
Canada (AAA),1991,3
Canada (AAA),1990,3
Canada (AAA),1989,3
Canada (AAA),1988,3
Canada (AAA),1987,3
Canada (AAA),1986,3
Canada (AAA),1985,3
Canada (AAA),1984,2
Canada (AAA),1983,2
Canada (AAA),1982,2
Canada (AAA),1981,2
Canada (AAA),1980,1
Canada (AAA),1979,1
Canada (AAA),1978,1
Canada (AAA),1977,
Canada (AAA),1976,
Canada (AAA),1975,
Canada (AAA),1974,
Canada (AAA),1973,
Canada (AAA),1972,
Canada (AAA),1971,1
Canada (AAA),1970,
Canada (AAA),1969,1
Canada (AAA),1968,1
Canada (AAA),1967,2
Canada (AAA),1966,2
Canada (AAA),1965,2
Canada (AAA),1964,1
Canada (AAA),1963,1
Canada (AAA),1962,2
Canada (AAA),1961,2
Canada (AAA),1960,3
Puerto Rico (AAA),2016,
Puerto Rico (AAA),2015,
Puerto Rico (AAA),2014,
Puerto Rico (AAA),2013,
Puerto Rico (AAA),2012,
Puerto Rico (AAA),2011,
Puerto Rico (AAA),2010,
Puerto Rico (AAA),2009,
Puerto Rico (AAA),2008,
Puerto Rico (AAA),2007,
Puerto Rico (AAA),2006,
Puerto Rico (AAA),2005,
Puerto Rico (AAA),2004,
Puerto Rico (AAA),2003,
Puerto Rico (AAA),2002,
Puerto Rico (AAA),2001,
Puerto Rico (AAA),2000,
Puerto Rico (AAA),1999,
Puerto Rico (AAA),1998,
Puerto Rico (AAA),1997,
Puerto Rico (AAA),1996,
Puerto Rico (AAA),1995,
Puerto Rico (AAA),1994,
Puerto Rico (AAA),1993,
Puerto Rico (AAA),1992,
Puerto Rico (AAA),1991,
Puerto Rico (AAA),1990,
Puerto Rico (AAA),1989,
Puerto Rico (AAA),1988,
Puerto Rico (AAA),1987,
Puerto Rico (AAA),1986,
Puerto Rico (AAA),1985,
Puerto Rico (AAA),1984,
Puerto Rico (AAA),1983,
Puerto Rico (AAA),1982,
Puerto Rico (AAA),1981,
Puerto Rico (AAA),1980,
Puerto Rico (AAA),1979,2
Puerto Rico (AAA),1978,
Puerto Rico (AAA),1977,
Puerto Rico (AAA),1976,
Puerto Rico (AAA),1975,
Puerto Rico (AAA),1974,
Puerto Rico (AAA),1973,
Puerto Rico (AAA),1972,
