Canada (A),Canada (A-),Season,United States (A),United States (A+),United States (A-)
,,1/1/1960,14,,
,,1/1/1961,14,,
,,1/1/1962,14,,
1,,1/1/1963,71,,
1,,1/1/1964,61,,
,,1/1/1965,60,,
,,1/1/1966,53,,10
,,1/1/1967,46,,16
,,1/1/1968,46,,18
,1,1/1/1969,45,,17
,,1/1/1970,44,,20
,,1/1/1971,44,,18
,,1/1/1972,42,,14
,,1/1/1973,40,,14
,1,1/1/1974,38,,13
,,1/1/1975,34,,12
1,,1/1/1976,37,,13
1,,1/1/1977,39,,16
,1,1/1/1978,39,,17
,1,1/1/1979,40,,17
,1,1/1/1980,43,,15
,,1/1/1981,44,,14
,,1/1/1982,50,,16
,,1/1/1983,50,,20
,,1/1/1984,50,,20
,,1/1/1985,51,,20
,1,1/1/1986,52,,19
,1,1/1/1987,56,,19
,2,1/1/1988,58,,18
,3,1/1/1989,58,,19
,3,1/1/1990,26,32,19
,3,1/1/1991,28,32,19
,3,1/1/1992,28,32,19
,2,1/1/1993,28,31,20
,2,1/1/1994,28,32,20
,1,1/1/1995,28,32,21
,1,1/1/1996,28,32,21
,1,1/1/1997,28,32,21
,1,1/1/1998,28,32,21
,1,1/1/1999,28,32,21
,1,1/1/2000,28,32,21
,1,1/1/2001,30,30,21
,1,1/1/2002,30,30,21
,1,1/1/2003,30,30,21
,1,1/1/2004,30,30,21
,1,1/1/2005,30,30,21
,1,1/1/2006,30,30,21
,1,1/1/2007,30,30,21
,1,1/1/2008,30,30,21
,1,1/1/2009,30,30,21
,1,1/1/2010,30,30,21
,1,1/1/2011,30,30,21
,1,1/1/2012,30,30,21
,1,1/1/2013,30,30,21
,1,1/1/2014,30,30,21
,1,1/1/2015,30,30,21
,1,1/1/2016,30,30,21
