Measure Names,Year of Season,Measure Values
United States (Rk),2016,49
United States (Rk),2015,48
United States (Rk),2014,47
United States (Rk),2013,47
United States (Rk),2012,45
United States (Rk),2011,46
United States (Rk),2010,45
United States (Rk),2009,45
United States (Rk),2008,43
United States (Rk),2007,42
United States (Rk),2006,40
United States (Rk),2005,39
United States (Rk),2004,39
United States (Rk),2003,39
United States (Rk),2002,38
United States (Rk),2001,38
United States (Rk),2000,39
United States (Rk),1999,39
United States (Rk),1998,38
United States (Rk),1997,37
United States (Rk),1996,37
United States (Rk),1995,38
United States (Rk),1994,39
United States (Rk),1993,39
United States (Rk),1992,39
United States (Rk),1991,38
United States (Rk),1990,37
United States (Rk),1989,37
United States (Rk),1988,33
United States (Rk),1987,25
United States (Rk),1986,23
United States (Rk),1985,24
United States (Rk),1984,24
United States (Rk),1983,21
United States (Rk),1982,23
United States (Rk),1981,23
United States (Rk),1980,21
United States (Rk),1979,18
United States (Rk),1978,17
United States (Rk),1977,39
United States (Rk),1976,36
United States (Rk),1975,24
United States (Rk),1974,26
United States (Rk),1973,38
United States (Rk),1972,45
United States (Rk),1971,38
United States (Rk),1970,42
United States (Rk),1969,45
United States (Rk),1968,40
United States (Rk),1967,38
United States (Rk),1966,34
United States (Rk),1965,36
United States (Rk),1964,38
United States (Rk),1963,25
United States (Rk),1962,23
United States (Rk),1961,25
United States (Rk),1960,17
Dominican Republic (Frk),2016,42
Dominican Republic (Frk),2015,39
Dominican Republic (Frk),2014,37
Dominican Republic (Frk),2013,36
Dominican Republic (Frk),2012,36
Dominican Republic (Frk),2011,35
Dominican Republic (Frk),2010,37
Dominican Republic (Frk),2009,37
Dominican Republic (Frk),2008,42
Dominican Republic (Frk),2007,40
Dominican Republic (Frk),2006,37
Dominican Republic (Frk),2005,36
Dominican Republic (Frk),2004,31
Dominican Republic (Frk),2003,35
Dominican Republic (Frk),2002,34
Dominican Republic (Frk),2001,33
Dominican Republic (Frk),2000,33
Dominican Republic (Frk),1999,33
Dominican Republic (Frk),1998,32
Dominican Republic (Frk),1997,28
Dominican Republic (Frk),1996,23
Dominican Republic (Frk),1995,21
Dominican Republic (Frk),1994,20
Dominican Republic (Frk),1993,21
Dominican Republic (Frk),1992,20
Dominican Republic (Frk),1991,18
Dominican Republic (Frk),1990,18
Dominican Republic (Frk),1989,13
Dominican Republic (Frk),1988,
Dominican Republic (Frk),1987,
Dominican Republic (Frk),1986,
Dominican Republic (Frk),1985,
Dominican Republic (Frk),1984,
Dominican Republic (Frk),1983,
Dominican Republic (Frk),1982,
Dominican Republic (Frk),1981,
Dominican Republic (Frk),1980,
Dominican Republic (Frk),1979,
Dominican Republic (Frk),1978,
Dominican Republic (Frk),1977,
Dominican Republic (Frk),1976,
Dominican Republic (Frk),1975,
Dominican Republic (Frk),1974,
Dominican Republic (Frk),1973,
Dominican Republic (Frk),1972,
Dominican Republic (Frk),1971,
Dominican Republic (Frk),1970,
Dominican Republic (Frk),1969,
Dominican Republic (Frk),1968,
Dominican Republic (Frk),1967,
Dominican Republic (Frk),1966,
Dominican Republic (Frk),1965,
Dominican Republic (Frk),1964,
Dominican Republic (Frk),1963,
Dominican Republic (Frk),1962,
