Measure Names,Year of Season,Measure Values
Northern America (MLB),2010,929
Northern America (MLB),2000,953
Northern America (MLB),1990,895
Northern America (MLB),1980,816
Northern America (MLB),1970,752
Northern America (MLB),1960,522
Latin America and the Caribbean (MLB),2010,278
Latin America and the Caribbean (MLB),2000,248
Latin America and the Caribbean (MLB),1990,120
Latin America and the Caribbean (MLB),1980,89
Latin America and the Caribbean (MLB),1970,83
Latin America and the Caribbean (MLB),1960,44
Europe (MLB),2010,6
Europe (MLB),2000,3
Europe (MLB),1990,6
Europe (MLB),1980,5
Europe (MLB),1970,3
Europe (MLB),1960,4
Asia (MLB),2010,14
Asia (MLB),2000,15
Asia (MLB),1990,
Asia (MLB),1980,
Asia (MLB),1970,
Asia (MLB),1960,
Oceania (MLB),2010,7
Oceania (MLB),2000,4
Oceania (MLB),1990,
Oceania (MLB),1980,
Oceania (MLB),1970,
Oceania (MLB),1960,
Africa (MLB),2010,0
Africa (MLB),2000,0
Africa (MLB),1990,0
Africa (MLB),1980,0
Africa (MLB),1970,0
Africa (MLB),1960,0
