Africa (Rk),Asia (Rk),Europe (Rk),Oceania (Rk),Season
,,,,1/1/1963
,1,,,1/1/1964
,,2,1,1/1/1965
,,1,1,1/1/1966
,,,,1/1/1967
,,1,,1/1/1968
,,2,,1/1/1969
,,,,1/1/1970
,,,,1/1/1971
,,,,1/1/1972
,,,1,1/1/1973
,,,,1/1/1974
,,2,,1/1/1975
,,1,,1/1/1976
,,1,,1/1/1977
,,,,1/1/1978
,,,,1/1/1979
,,,,1/1/1980
,,2,,1/1/1981
,,,,1/1/1982
,,,,1/1/1983
,,1,,1/1/1984
,,,,1/1/1985
,3,2,,1/1/1986
,2,1,2,1/1/1987
,1,1,1,1/1/1988
,1,1,,1/1/1989
,5,,,1/1/1990
,1,1,,1/1/1991
,1,1,5,1/1/1992
,1,3,8,1/1/1993
,3,4,13,1/1/1994
,5,,8,1/1/1995
,5,5,16,1/1/1996
2,6,2,20,1/1/1997
1,14,3,14,1/1/1998
,8,5,16,1/1/1999
2,6,3,14,1/1/2000
,7,6,15,1/1/2001
2,9,7,16,1/1/2002
1,8,5,22,1/1/2003
2,11,4,14,1/1/2004
3,3,6,31,1/1/2005
1,6,7,19,1/1/2006
1,12,10,21,1/1/2007
2,15,19,22,1/1/2008
4,20,17,20,1/1/2009
5,21,16,21,1/1/2010
5,21,16,22,1/1/2011
5,17,14,21,1/1/2012
4,12,12,20,1/1/2013
2,15,16,14,1/1/2014
2,8,14,14,1/1/2015
4,8,15,8,1/1/2016
