Measure Names,Year of Season,Measure Values
Northern America (A-),2016,620
Northern America (A-),2015,595
Northern America (A-),2014,610
Northern America (A-),2013,574
Northern America (A-),2012,564
Northern America (A-),2011,570
Northern America (A-),2010,590
Northern America (A-),2009,556
Northern America (A-),2008,592
Northern America (A-),2007,580
Northern America (A-),2006,561
Northern America (A-),2005,579
Northern America (A-),2004,563
Northern America (A-),2003,595
Northern America (A-),2002,586
Northern America (A-),2001,548
Northern America (A-),2000,561
Northern America (A-),1999,542
Northern America (A-),1998,547
Northern America (A-),1997,539
Northern America (A-),1996,433
Northern America (A-),1995,377
Northern America (A-),1994,314
Northern America (A-),1993,291
Northern America (A-),1992,307
Northern America (A-),1991,245
Northern America (A-),1990,179
Northern America (A-),1989,155
Northern America (A-),1988,129
Northern America (A-),1987,121
Northern America (A-),1986,116
Northern America (A-),1985,85
Northern America (A-),1984,92
Northern America (A-),1983,105
Northern America (A-),1982,100
Northern America (A-),1981,107
Northern America (A-),1980,88
Northern America (A-),1979,100
Northern America (A-),1978,113
Northern America (A-),1977,100
Northern America (A-),1976,49
Northern America (A-),1975,42
Northern America (A-),1974,62
Northern America (A-),1973,77
Northern America (A-),1972,102
Northern America (A-),1971,112
Northern America (A-),1970,131
Northern America (A-),1969,116
Northern America (A-),1968,148
Northern America (A-),1967,104
Northern America (A-),1966,56
Northern America (A+),2016,1130
Northern America (A+),2015,1129
Northern America (A+),2014,1101
Northern America (A+),2013,1116
Northern America (A+),2012,1109
Northern America (A+),2011,1053
Northern America (A+),2010,1082
Northern America (A+),2009,1087
Northern America (A+),2008,1091
Northern America (A+),2007,1077
Northern America (A+),2006,1026
Northern America (A+),2005,1046
Northern America (A+),2004,1005
Northern America (A+),2003,1033
Northern America (A+),2002,1005
Northern America (A+),2001,999
Northern America (A+),2000,984
Northern America (A+),1999,986
Northern America (A+),1998,1027
Northern America (A+),1997,1028
Northern America (A+),1996,924
Northern America (A+),1995,808
Northern America (A+),1994,715
Northern America (A+),1993,693
Northern America (A+),1992,580
Northern America (A+),1991,541
Northern America (A+),1990,508
Northern America (A+),1989,
Northern America (A+),1988,
Northern America (A+),1987,
Northern America (A+),1986,
Northern America (A+),1985,
Northern America (A+),1984,
Northern America (A+),1983,
Northern America (A+),1982,
Northern America (A+),1981,
Northern America (A+),1980,
Northern America (A+),1979,
Northern America (A+),1978,
Northern America (A+),1977,
Northern America (A+),1976,
Northern America (A+),1975,
Northern America (A+),1974,
Northern America (A+),1973,
Northern America (A+),1972,
Northern America (A+),1971,
Northern America (A+),1970,
Northern America (A+),1969,
Northern America (A+),1968,
Northern America (A+),1967,
Northern America (A+),1966,
Northern America (A),2016,889
Northern America (A),2015,880
Northern America (A),2014,862
Northern America (A),2013,876
Northern America (A),2012,888
Northern America (A),2011,864
Northern America (A),2010,824
Northern America (A),2009,860
Northern America (A),2008,913
Northern America (A),2007,858
Northern America (A),2006,867
Northern America (A),2005,903
Northern America (A),2004,791
Northern America (A),2003,778
Northern America (A),2002,773
Northern America (A),2001,788
Northern America (A),2000,696
Northern America (A),1999,683
Northern America (A),1998,656
Northern America (A),1997,664
Northern America (A),1996,591
Northern America (A),1995,538
Northern America (A),1994,476
Northern America (A),1993,438
Northern America (A),1992,440
Northern America (A),1991,354
Northern America (A),1990,269
Northern America (A),1989,640
Northern America (A),1988,584
Northern America (A),1987,555
Northern America (A),1986,483
Northern America (A),1985,496
Northern America (A),1984,498
