Measure Names,Year of Season,Measure Values
Oceania (A-),2016,2
Oceania (A-),2015,4
Oceania (A-),2014,4
Oceania (A-),2013,6
Oceania (A-),2012,6
Oceania (A-),2011,7
Oceania (A-),2010,8
Oceania (A-),2009,2
Oceania (A-),2008,2
Oceania (A-),2007,5
Oceania (A-),2006,6
Oceania (A-),2005,8
Oceania (A-),2004,10
Oceania (A-),2003,5
Oceania (A-),2002,3
Oceania (A-),2001,6
Oceania (A-),2000,8
Oceania (A-),1999,6
Oceania (A-),1998,4
Oceania (A-),1997,8
Oceania (A-),1996,3
Oceania (A-),1995,3
Oceania (A-),1994,2
Oceania (A-),1993,1
Oceania (A-),1992,
Oceania (A-),1991,
Oceania (A-),1990,
Oceania (A-),1989,2
Oceania (A-),1988,
Oceania (A-),1987,1
Oceania (A-),1986,
Oceania (A-),1985,
Oceania (A-),1984,
Oceania (A-),1983,
Oceania (A-),1982,
Oceania (A-),1981,
Oceania (A-),1980,
Oceania (A-),1979,
Oceania (A-),1978,
Oceania (A-),1977,
Oceania (A-),1976,
Oceania (A-),1975,
Oceania (A-),1974,
Oceania (A-),1973,
Oceania (A-),1972,
Oceania (A-),1971,
Oceania (A-),1970,
Oceania (A-),1969,
Oceania (A-),1968,
Oceania (A-),1967,
Oceania (A-),1966,
Oceania (A-),1965,
Oceania (A-),1964,
Oceania (A-),1963,
Oceania (A-),1962,
Oceania (A-),1961,
Oceania (A-),1960,
Oceania (A+),2016,11
Oceania (A+),2015,6
Oceania (A+),2014,5
Oceania (A+),2013,8
Oceania (A+),2012,5
Oceania (A+),2011,8
Oceania (A+),2010,15
Oceania (A+),2009,15
Oceania (A+),2008,9
Oceania (A+),2007,10
Oceania (A+),2006,15
Oceania (A+),2005,17
Oceania (A+),2004,13
Oceania (A+),2003,12
Oceania (A+),2002,12
Oceania (A+),2001,9
Oceania (A+),2000,11
Oceania (A+),1999,7
Oceania (A+),1998,10
Oceania (A+),1997,10
Oceania (A+),1996,7
Oceania (A+),1995,5
Oceania (A+),1994,2
Oceania (A+),1993,3
Oceania (A+),1992,1
Oceania (A+),1991,3
Oceania (A+),1990,2
Oceania (A+),1989,
Oceania (A+),1988,
Oceania (A+),1987,
Oceania (A+),1986,
Oceania (A+),1985,
Oceania (A+),1984,
Oceania (A+),1983,
Oceania (A+),1982,
Oceania (A+),1981,
Oceania (A+),1980,
Oceania (A+),1979,
Oceania (A+),1978,
Oceania (A+),1977,
Oceania (A+),1976,
Oceania (A+),1975,
Oceania (A+),1974,
Oceania (A+),1973,
Oceania (A+),1972,
Oceania (A+),1971,
Oceania (A+),1970,
Oceania (A+),1969,
Oceania (A+),1968,
Oceania (A+),1967,
Oceania (A+),1966,
Oceania (A+),1965,
Oceania (A+),1964,
Oceania (A+),1963,
Oceania (A+),1962,
Oceania (A+),1961,
Oceania (A+),1960,
Oceania (A),2016,4
Oceania (A),2015,6
Oceania (A),2014,5
Oceania (A),2013,6
Oceania (A),2012,6
Oceania (A),2011,5
Oceania (A),2010,8
Oceania (A),2009,7
Oceania (A),2008,7
Oceania (A),2007,9
Oceania (A),2006,11
Oceania (A),2005,13
Oceania (A),2004,11
Oceania (A),2003,11
Oceania (A),2002,10
Oceania (A),2001,9
Oceania (A),2000,6
Oceania (A),1999,9
Oceania (A),1998,8
Oceania (A),1997,8
Oceania (A),1996,9
Oceania (A),1995,11
Oceania (A),1994,6
Oceania (A),1993,1
Oceania (A),1992,1
Oceania (A),1991,2
Oceania (A),1990,2
