Measure Names,Year of Season,Measure Values
Northern America (AA),2016,1000
Northern America (AA),2015,1008
Northern America (AA),2014,1001
Northern America (AA),2013,979
Northern America (AA),2012,990
Northern America (AA),2011,950
Northern America (AA),2010,967
Northern America (AA),2009,952
Northern America (AA),2008,935
Northern America (AA),2007,952
Northern America (AA),2006,931
Northern America (AA),2005,916
Northern America (AA),2004,923
Northern America (AA),2003,920
Northern America (AA),2002,903
Northern America (AA),2001,940
Northern America (AA),2000,899
Northern America (AA),1999,886
Northern America (AA),1998,835
Northern America (AA),1997,842
Northern America (AA),1996,700
Northern America (AA),1995,703
Northern America (AA),1994,611
Northern America (AA),1993,548
Northern America (AA),1992,550
Northern America (AA),1991,537
Northern America (AA),1990,488
Northern America (AA),1989,460
Northern America (AA),1988,420
Northern America (AA),1987,412
Northern America (AA),1986,406
Northern America (AA),1985,399
Northern America (AA),1984,383
Northern America (AA),1983,384
Northern America (AA),1982,397
Northern America (AA),1981,371
Northern America (AA),1980,406
Northern America (AA),1979,378
Northern America (AA),1978,381
Northern America (AA),1977,388
Northern America (AA),1976,371
Northern America (AA),1975,364
Northern America (AA),1974,365
Northern America (AA),1973,379
Northern America (AA),1972,449
Northern America (AA),1971,407
Northern America (AA),1970,383
Northern America (AA),1969,327
Northern America (AA),1968,316
Northern America (AA),1967,324
Northern America (AA),1966,340
Northern America (AA),1965,315
Northern America (AA),1964,315
Northern America (AA),1963,334
Northern America (AA),1962,91
Northern America (AA),1961,230
Northern America (AA),1960,221
Latin America and the Caribbean (AA),2016,308
Latin America and the Caribbean (AA),2015,304
Latin America and the Caribbean (AA),2014,283
Latin America and the Caribbean (AA),2013,293
Latin America and the Caribbean (AA),2012,256
Latin America and the Caribbean (AA),2011,256
Latin America and the Caribbean (AA),2010,253
Latin America and the Caribbean (AA),2009,264
Latin America and the Caribbean (AA),2008,257
Latin America and the Caribbean (AA),2007,220
Latin America and the Caribbean (AA),2006,224
Latin America and the Caribbean (AA),2005,223
Latin America and the Caribbean (AA),2004,223
Latin America and the Caribbean (AA),2003,196
Latin America and the Caribbean (AA),2002,220
Latin America and the Caribbean (AA),2001,208
Latin America and the Caribbean (AA),2000,182
Latin America and the Caribbean (AA),1999,168
Latin America and the Caribbean (AA),1998,160
Latin America and the Caribbean (AA),1997,146
Latin America and the Caribbean (AA),1996,127
Latin America and the Caribbean (AA),1995,137
Latin America and the Caribbean (AA),1994,110
Latin America and the Caribbean (AA),1993,87
Latin America and the Caribbean (AA),1992,87
Latin America and the Caribbean (AA),1991,102
Latin America and the Caribbean (AA),1990,96
Latin America and the Caribbean (AA),1989,93
Latin America and the Caribbean (AA),1988,77
Latin America and the Caribbean (AA),1987,75
Latin America and the Caribbean (AA),1986,66
Latin America and the Caribbean (AA),1985,54
Latin America and the Caribbean (AA),1984,53
Latin America and the Caribbean (AA),1983,50
Latin America and the Caribbean (AA),1982,38
Latin America and the Caribbean (AA),1981,47
Latin America and the Caribbean (AA),1980,37
Latin America and the Caribbean (AA),1979,34
Latin America and the Caribbean (AA),1978,41
Latin America and the Caribbean (AA),1977,37
Latin America and the Caribbean (AA),1976,39
Latin America and the Caribbean (AA),1975,41
Latin America and the Caribbean (AA),1974,40
Latin America and the Caribbean (AA),1973,54
Latin America and the Caribbean (AA),1972,46
Latin America and the Caribbean (AA),1971,41
Latin America and the Caribbean (AA),1970,36
Latin America and the Caribbean (AA),1969,27
Latin America and the Caribbean (AA),1968,38
Latin America and the Caribbean (AA),1967,32
Latin America and the Caribbean (AA),1966,33
Latin America and the Caribbean (AA),1965,27
Latin America and the Caribbean (AA),1964,27
Latin America and the Caribbean (AA),1963,32
Latin America and the Caribbean (AA),1962,21
Latin America and the Caribbean (AA),1961,13
Latin America and the Caribbean (AA),1960,18
