Measure Names,Year of Season,Measure Values
Northern America (AAA),2016,1273
Northern America (AAA),2015,1231
Northern America (AAA),2014,1196
Northern America (AAA),2013,1181
Northern America (AAA),2012,1187
Northern America (AAA),2011,1194
Northern America (AAA),2010,1187
Northern America (AAA),2009,1193
Northern America (AAA),2008,1160
Northern America (AAA),2007,1141
Northern America (AAA),2006,1140
Northern America (AAA),2005,1108
Northern America (AAA),2004,1119
Northern America (AAA),2003,1066
Northern America (AAA),2002,1025
Northern America (AAA),2001,1067
Northern America (AAA),2000,1070
Northern America (AAA),1999,1039
Northern America (AAA),1998,1063
Northern America (AAA),1997,973
Northern America (AAA),1996,949
Northern America (AAA),1995,1075
Northern America (AAA),1994,824
Northern America (AAA),1993,853
Northern America (AAA),1992,785
Northern America (AAA),1991,796
Northern America (AAA),1990,756
Northern America (AAA),1989,697
Northern America (AAA),1988,711
Northern America (AAA),1987,731
Northern America (AAA),1986,699
Northern America (AAA),1985,670
Northern America (AAA),1984,708
Northern America (AAA),1983,704
Northern America (AAA),1982,724
Northern America (AAA),1981,631
Northern America (AAA),1980,635
Northern America (AAA),1979,690
Northern America (AAA),1978,637
Northern America (AAA),1977,611
Northern America (AAA),1976,583
Northern America (AAA),1975,592
Northern America (AAA),1974,631
Northern America (AAA),1973,627
Northern America (AAA),1972,611
Northern America (AAA),1971,631
Northern America (AAA),1970,600
Northern America (AAA),1969,530
Northern America (AAA),1968,500
Northern America (AAA),1967,502
Northern America (AAA),1966,492
Northern America (AAA),1965,408
Northern America (AAA),1964,456
Northern America (AAA),1963,454
Northern America (AAA),1962,522
Northern America (AAA),1961,533
Northern America (AAA),1960,612
Latin America and the Caribbean (AAA),2016,386
Latin America and the Caribbean (AAA),2015,390
Latin America and the Caribbean (AAA),2014,349
Latin America and the Caribbean (AAA),2013,334
Latin America and the Caribbean (AAA),2012,319
Latin America and the Caribbean (AAA),2011,340
Latin America and the Caribbean (AAA),2010,328
Latin America and the Caribbean (AAA),2009,325
Latin America and the Caribbean (AAA),2008,309
Latin America and the Caribbean (AAA),2007,302
Latin America and the Caribbean (AAA),2006,287
Latin America and the Caribbean (AAA),2005,287
Latin America and the Caribbean (AAA),2004,254
Latin America and the Caribbean (AAA),2003,235
Latin America and the Caribbean (AAA),2002,246
Latin America and the Caribbean (AAA),2001,236
Latin America and the Caribbean (AAA),2000,250
Latin America and the Caribbean (AAA),1999,208
Latin America and the Caribbean (AAA),1998,210
Latin America and the Caribbean (AAA),1997,177
Latin America and the Caribbean (AAA),1996,163
Latin America and the Caribbean (AAA),1995,164
Latin America and the Caribbean (AAA),1994,118
Latin America and the Caribbean (AAA),1993,127
Latin America and the Caribbean (AAA),1992,123
Latin America and the Caribbean (AAA),1991,135
Latin America and the Caribbean (AAA),1990,118
Latin America and the Caribbean (AAA),1989,91
Latin America and the Caribbean (AAA),1988,99
Latin America and the Caribbean (AAA),1987,94
Latin America and the Caribbean (AAA),1986,73
Latin America and the Caribbean (AAA),1985,82
Latin America and the Caribbean (AAA),1984,81
Latin America and the Caribbean (AAA),1983,81
Latin America and the Caribbean (AAA),1982,84
Latin America and the Caribbean (AAA),1981,68
Latin America and the Caribbean (AAA),1980,73
Latin America and the Caribbean (AAA),1979,87
Latin America and the Caribbean (AAA),1978,76
Latin America and the Caribbean (AAA),1977,55
Latin America and the Caribbean (AAA),1976,59
Latin America and the Caribbean (AAA),1975,61
Latin America and the Caribbean (AAA),1974,59
Latin America and the Caribbean (AAA),1973,54
Latin America and the Caribbean (AAA),1972,67
Latin America and the Caribbean (AAA),1971,70
Latin America and the Caribbean (AAA),1970,65
Latin America and the Caribbean (AAA),1969,58
Latin America and the Caribbean (AAA),1968,58
Latin America and the Caribbean (AAA),1967,57
Latin America and the Caribbean (AAA),1966,49
Latin America and the Caribbean (AAA),1965,39
Latin America and the Caribbean (AAA),1964,48
Latin America and the Caribbean (AAA),1963,52
Latin America and the Caribbean (AAA),1962,47
Latin America and the Caribbean (AAA),1961,58
Latin America and the Caribbean (AAA),1960,71
