Latin America and the Caribbean (MLB),Season
44,1/1/1960
41,1/1/1961
48,1/1/1962
50,1/1/1963
53,1/1/1964
53,1/1/1965
59,1/1/1966
64,1/1/1967
61,1/1/1968
80,1/1/1969
83,1/1/1970
73,1/1/1971
75,1/1/1972
78,1/1/1973
84,1/1/1974
70,1/1/1975
80,1/1/1976
86,1/1/1977
84,1/1/1978
79,1/1/1979
89,1/1/1980
83,1/1/1981
91,1/1/1982
93,1/1/1983
91,1/1/1984
90,1/1/1985
92,1/1/1986
104,1/1/1987
119,1/1/1988
106,1/1/1989
120,1/1/1990
131,1/1/1991
125,1/1/1992
144,1/1/1993
134,1/1/1994
170,1/1/1995
181,1/1/1996
209,1/1/1997
215,1/1/1998
232,1/1/1999
248,1/1/2000
264,1/1/2001
270,1/1/2002
272,1/1/2003
287,1/1/2004
289,1/1/2005
298,1/1/2006
287,1/1/2007
293,1/1/2008
297,1/1/2009
278,1/1/2010
284,1/1/2011
284,1/1/2012
297,1/1/2013
311,1/1/2014
321,1/1/2015
327,1/1/2016
