Measure Names,Year of Season,Measure Values
Northern America (MLB),2016,987
Northern America (MLB),2015,988
Northern America (MLB),2014,973
Northern America (MLB),2013,962
Northern America (MLB),2012,954
Northern America (MLB),2011,966
Northern America (MLB),2010,929
Northern America (MLB),2009,925
Northern America (MLB),2008,952
Northern America (MLB),2007,948
Northern America (MLB),2006,910
Northern America (MLB),2005,905
Northern America (MLB),2004,922
Northern America (MLB),2003,922
Northern America (MLB),2002,914
Northern America (MLB),2001,924
Northern America (MLB),2000,953
Northern America (MLB),1999,949
Northern America (MLB),1998,944
Northern America (MLB),1997,888
Northern America (MLB),1996,936
Northern America (MLB),1995,943
Northern America (MLB),1994,839
Northern America (MLB),1993,941
Northern America (MLB),1992,868
Northern America (MLB),1991,888
Northern America (MLB),1990,895
Northern America (MLB),1989,865
Northern America (MLB),1988,839
Northern America (MLB),1987,856
Northern America (MLB),1986,845
Northern America (MLB),1985,836
Northern America (MLB),1984,829
Northern America (MLB),1983,845
Northern America (MLB),1982,829
Northern America (MLB),1981,813
Northern America (MLB),1980,816
Northern America (MLB),1979,809
Northern America (MLB),1978,808
Northern America (MLB),1977,803
Northern America (MLB),1976,726
Northern America (MLB),1975,761
Northern America (MLB),1974,767
Northern America (MLB),1973,732
Northern America (MLB),1972,735
Northern America (MLB),1971,743
Northern America (MLB),1970,752
Northern America (MLB),1969,757
Northern America (MLB),1968,604
Northern America (MLB),1967,641
Northern America (MLB),1966,645
Northern America (MLB),1965,639
Northern America (MLB),1964,637
Northern America (MLB),1963,639
Northern America (MLB),1962,646
Northern America (MLB),1961,572
Northern America (MLB),1960,522
Northern America (AAA),2016,1273
Northern America (AAA),2015,1231
Northern America (AAA),2014,1196
Northern America (AAA),2013,1181
Northern America (AAA),2012,1187
Northern America (AAA),2011,1194
Northern America (AAA),2010,1187
Northern America (AAA),2009,1193
Northern America (AAA),2008,1160
Northern America (AAA),2007,1141
Northern America (AAA),2006,1140
Northern America (AAA),2005,1108
Northern America (AAA),2004,1119
Northern America (AAA),2003,1066
Northern America (AAA),2002,1025
Northern America (AAA),2001,1067
Northern America (AAA),2000,1070
Northern America (AAA),1999,1039
Northern America (AAA),1998,1063
Northern America (AAA),1997,973
Northern America (AAA),1996,949
Northern America (AAA),1995,1075
Northern America (AAA),1994,824
Northern America (AAA),1993,853
Northern America (AAA),1992,785
Northern America (AAA),1991,796
Northern America (AAA),1990,756
Northern America (AAA),1989,697
Northern America (AAA),1988,711
Northern America (AAA),1987,731
Northern America (AAA),1986,699
Northern America (AAA),1985,670
Northern America (AAA),1984,708
Northern America (AAA),1983,704
Northern America (AAA),1982,724
Northern America (AAA),1981,631
Northern America (AAA),1980,635
Northern America (AAA),1979,690
Northern America (AAA),1978,637
Northern America (AAA),1977,611
Northern America (AAA),1976,583
Northern America (AAA),1975,592
Northern America (AAA),1974,631
Northern America (AAA),1973,627
Northern America (AAA),1972,611
Northern America (AAA),1971,631
Northern America (AAA),1970,600
Northern America (AAA),1969,530
Northern America (AAA),1968,500
Northern America (AAA),1967,502
Northern America (AAA),1966,492
Northern America (AAA),1965,408
Northern America (AAA),1964,456
Northern America (AAA),1963,454
Northern America (AAA),1962,522
Northern America (AAA),1961,533
Northern America (AAA),1960,612
Northern America (AA),2016,1000
Northern America (AA),2015,1008
Northern America (AA),2014,1001
Northern America (AA),2013,979
Northern America (AA),2012,990
Northern America (AA),2011,950
Northern America (AA),2010,967
Northern America (AA),2009,952
Northern America (AA),2008,935
